COUNTRY,UNIVERSITY,Approved Major,Specific Major as Listed by University,Deadline Passed as of Jan 3?,,,,
Australia,Australian National University,Actuarial Sciences (Statistics),Actuarial Studies,,,,,
Australia,Australian National University,Actuarial Sciences (Statistics),Statistics,,,,,
Canada,McGill University,Actuarial Sciences (Statistics),Statistics,Yes,,,,
Canada,McMaster University,Actuarial Sciences (Statistics),Actuarial & Financial Mathematics,,,,,
Canada,University of Toronto,Actuarial Sciences (Statistics),Statistics,Yes,,,,
South Korea,Yonsei University,Actuarial Sciences (Statistics),Applied Statistics,,,,,
United States,Johns Hopkins University,Actuarial Sciences (Statistics),Applied Mathematics & Statistics,Yes,,,,
United States,Michigan State University,Actuarial Sciences (Statistics),Actuarial Science,,,,,
United States,Michigan State University,Actuarial Sciences (Statistics),Statistics,,,,,
United States,New York University,Actuarial Sciences (Statistics),Actuarial Science,Yes,,,,
United States,Ohio State University (Columbus),Actuarial Sciences (Statistics),Actuarial Science,,,,,
United States,"University of California, Santa Barbara",Actuarial Sciences (Statistics),Actuarial Science,Yes,,,,
United States,"University of California, Santa Barbara",Actuarial Sciences (Statistics),Statistics & Data Science,Yes,,,,
United States,University of Michigan,Actuarial Sciences (Statistics),Actuarial Mathematics,,,,,
United States,University of Colorado Boulder,Actuarial Sciences (Statistics),Statistics & Data Science (BA),,,,,
United States,University of Minnesota,Actuarial Sciences (Statistics),Finance & Risk Management Insurance,Yes,,,,
United States,"University of North Carolina, Chapel Hill",Actuarial Sciences (Statistics),Statistics & Analytics,Yes,,,,
United States,University of Pittsburgh,Actuarial Sciences (Statistics),Actuarial Mathematics,,,,,
United States,University of Pittsburgh,Actuarial Sciences (Statistics),Statistics,,,,,
United States,University of Wisconsin-Madison,Actuarial Sciences (Statistics),Actuarial Science,Yes,,,,
United States,Yale University,Actuarial Sciences (Statistics),Statistics,Yes,,,,
Australia,University of Queensland,Agribusiness (Commodity Trading),Agribusiness,,,,,
Australia,University of Technology Sydney,Agribusiness (Commodity Trading),Science – Business (combined Bachelor degrees in Science – Business),,,,,
United States,Purdue University,Agribusiness (Commodity Trading),Agricultural Economics: Applied Agricultural Economics,,,,,
United States,Purdue University,Agribusiness (Commodity Trading),Agricultural Economics: Quantitative Analysis,,,,,
United States,University of Illinois at Urbana-Champaign,Agribusiness (Commodity Trading),Agribusiness Markets and Management,Yes,,,,
United States,University of Wisconsin Madison,Agribusiness (Commodity Trading),Agricultural and Applied Economics,Yes,,,,
South Korea,Seoul National University,Agricultural Engineering,Biosystems Engineering,,,,,
United States,Ohio State University (Columbus),Agricultural Engineering,"Food, Agricultural & Biological Engineering",,,,,
United States,Purdue University,Agricultural Engineering,Agricultural Engineering,,,,,
United States,University of Illinois at Urbana-Champaign,Agricultural Engineering,Agricultural & Biological Engineering,Yes,,,,
Australia,University of Adelaide,Agricultural Science and Technology,Agricultural Sciences ,,,,,
Australia,University of Queensland,Agricultural Science and Technology,Agricultural Science ,,,,,
Australia,University of Sydney,Agricultural Science and Technology,Science & Advanced Studies (Agriculture),,,,,
Australia,University of Western Australia,Agricultural Science and Technology,Agricultural Science,,,,,
Canada,McGill University,Agricultural Science and Technology,Agro-Environmental Sciences ,Yes,,,,
Canada,McGill University,Agricultural Science and Technology,Food Science,Yes,,,,
Canada,McGill University,Agricultural Science and Technology,Food Science & Nutritional Science,Yes,,,,
Canada,McGill University,Agricultural Science and Technology,Nutrition ,Yes,,,,
Canada,University of Alberta,Agricultural Science and Technology,Crop Sciences,,,,,
Canada,University of Alberta,Agricultural Science and Technology,Sustainable Agriculture Systems,,,,,
Canada,University of Alberta,Agricultural Science and Technology,Animal Science,,,,,
Canada,University of Alberta,Agricultural Science and Technology,Agricultural Business Management,,,,,
Canada,University of Alberta,Agricultural Science and Technology,Agricultural & Resource Economics ,,,,,
South Korea,Seoul National University,Agricultural Science and Technology,Agricultural & Resource Economics,,,,,
South Korea,Seoul National University,Agricultural Science and Technology,Applied Life Chemistry,,,,,
South Korea,Seoul National University,Agricultural Science and Technology,Applied Biology,,,,,
South Korea,Seoul National University,Agricultural Science and Technology,Biosystems Engineering,,,,,
